Date,Close,High,Low,Open,Volume
2025-05-06,132.5800018310547,140.60000610351562,131.0,138.74000549316406,2618756
2025-05-07,126.83000183105469,131.4499969482422,125.19999694824219,131.0,3045074
2025-05-08,120.97000122070312,130.0,120.0,128.25999450683594,1994422
2025-05-09,122.41999816894531,123.55000305175781,115.98999786376953,116.0,2403688
2025-05-12,135.19000244140625,136.89999389648438,127.8499984741211,127.9000015258789,3489497
2025-05-13,134.50999450683594,137.0,133.0,134.0,1396388
2025-05-14,135.75999450683594,136.89999389648438,133.5,135.6699981689453,1271624
2025-05-15,143.94000244140625,145.32000732421875,137.5399932861328,137.89999389648438,5556783
2025-05-16,145.36000061035156,148.0,143.77999877929688,145.77000427246094,2833020
2025-05-19,147.3800048828125,150.57000732421875,144.33999633789062,146.39999389648438,2891451
2025-05-20,142.44000244140625,148.77999877929688,141.2100067138672,148.1999969482422,3296925
2025-05-21,148.41000366210938,149.0,140.32000732421875,142.8800048828125,2860958
2025-05-22,146.6699981689453,149.7899932861328,144.39999389648438,149.0,2126995
2025-05-23,152.99000549316406,157.39999389648438,145.58999633789062,147.3000030517578,6869963
2025-05-26,153.8000030517578,163.0,152.66000366210938,154.67999267578125,7032013
2025-05-27,156.91000366210938,158.8000030517578,151.0,154.89999389648438,3338435
2025-05-28,158.33999633789062,161.8000030517578,155.85000610351562,157.6300048828125,3579765
2025-05-29,149.2899932861328,153.3000030517578,137.6999969482422,151.00999450683594,12973732
2025-05-30,143.77000427246094,151.42999267578125,142.8300018310547,150.6300048828125,3091259
2025-06-02,139.25999450683594,144.8300018310547,138.5,142.5,2112142
2025-06-03,142.07000732421875,143.5,139.9600067138672,140.38999938964844,1861415
2025-06-04,140.58999633789062,143.36000061035156,140.11000061035156,142.77999877929688,1105315
2025-06-05,152.6300048828125,154.5,140.5,141.3699951171875,6199729
2025-06-06,151.25999450683594,156.0,149.75,153.10000610351562,1853952
2025-06-09,152.2100067138672,154.3300018310547,150.0,151.25999450683594,1970633
2025-06-10,152.60000610351562,154.88999938964844,151.75999450683594,152.9600067138672,1297270
2025-06-11,156.52999877929688,161.44000244140625,151.69000244140625,153.0,5445798
2025-06-12,162.8800048828125,165.0,155.69000244140625,157.4499969482422,5514335
2025-06-13,161.80999755859375,165.0,155.5500030517578,156.60000610351562,3505332
2025-06-16,161.0399932861328,163.9499969482422,157.6699981689453,162.99000549316406,2129427
2025-06-17,160.60000610351562,167.99000549316406,160.0,163.0,4852792
2025-06-18,159.97999572753906,164.60000610351562,159.0,161.0500030517578,1758237
2025-06-19,156.99000549316406,163.88999938964844,153.0,159.60000610351562,2212588
2025-06-20,161.42999267578125,162.86000061035156,155.0,155.67999267578125,2028931
2025-06-23,162.72999572753906,164.38999938964844,158.25999450683594,158.25999450683594,2012794
2025-06-24,162.08999633789062,166.0,161.1999969482422,165.25,1891173
2025-06-25,170.14999389648438,172.0,162.75,163.17999267578125,5058486
2025-06-26,168.99000549316406,172.6999969482422,166.35000610351562,171.0,2623637
2025-06-27,167.67999267578125,173.02999877929688,167.0,170.02000427246094,1922491
2025-06-30,161.4600067138672,169.36000061035156,160.52000427246094,167.67999267578125,2535484
2025-07-01,161.13999938964844,166.1999969482422,159.11000061035156,162.4499969482422,2660592
2025-07-02,157.02999877929688,162.27999877929688,156.52000427246094,161.13999938964844,1482040
2025-07-03,157.07000732421875,159.89999389648438,155.4499969482422,157.8000030517578,1252973
2025-07-04,156.69000244140625,158.08999633789062,155.58999633789062,157.49000549316406,841412
2025-07-07,155.2899932861328,158.8800048828125,154.35000610351562,156.69000244140625,753055
2025-07-08,154.1999969482422,156.9499969482422,152.60000610351562,155.10000610351562,799278
2025-07-09,156.9199981689453,157.80999755859375,153.6999969482422,153.6999969482422,1124450
2025-07-10,152.16000366210938,157.8000030517578,151.60000610351562,157.8000030517578,1225720
2025-07-11,149.05999755859375,153.85000610351562,148.0,152.10000610351562,1283018
2025-07-14,152.9199981689453,153.3000030517578,147.60000610351562,149.0,1316953
2025-07-15,153.74000549316406,156.6199951171875,152.91000366210938,152.9199981689453,895302
2025-07-16,153.3000030517578,155.63999938964844,151.61000061035156,153.49000549316406,774029
2025-07-17,154.44000244140625,157.25,153.94000244140625,153.97999572753906,702128
2025-07-18,160.25999450683594,161.58999633789062,155.30999755859375,156.5,2642414
2025-07-21,162.9499969482422,164.24000549316406,159.4499969482422,160.5,1739188
2025-07-22,161.4499969482422,163.4499969482422,160.0,163.00999450683594,894727
2025-07-23,160.7899932861328,162.10000610351562,158.4499969482422,161.25,789620
2025-07-24,164.14999389648438,165.52999877929688,160.38999938964844,161.47999572753906,2170002
2025-07-25,157.4499969482422,166.6999969482422,156.25,166.0,1815384
2025-07-28,153.0,159.69000244140625,151.99000549316406,157.10000610351562,1450931
2025-07-29,154.00999450683594,155.0,150.39999389648438,153.0,975431
2025-07-30,153.75999450683594,156.97999572753906,152.75999450683594,154.9499969482422,480104
2025-07-31,152.05999755859375,156.8000030517578,150.00999450683594,152.41000366210938,904759
2025-08-01,146.9600067138672,153.02999877929688,144.69000244140625,153.0,1212530
2025-08-04,151.6300048828125,152.13999938964844,146.2100067138672,147.5,770407
2025-08-05,152.6300048828125,153.5,150.47000122070312,151.89999389648438,604573
2025-08-06,153.6300048828125,155.33999633789062,150.25,153.2899932861328,892918
2025-08-07,150.3800048828125,153.99000549316406,146.61000061035156,151.35000610351562,1249308
2025-08-08,147.5500030517578,152.44000244140625,146.99000549316406,150.3000030517578,595280
2025-08-11,151.25,151.89999389648438,145.92999267578125,148.5,647118
2025-08-12,139.85000610351562,155.74000549316406,138.25,154.89999389648438,3815705
2025-08-13,142.41000366210938,144.44000244140625,140.4199981689453,140.4199981689453,1188199
2025-08-14,141.1999969482422,144.66000366210938,140.60000610351562,142.4600067138672,563403
2025-08-18,137.94000244140625,142.99000549316406,136.77999877929688,141.86000061035156,1227593
2025-08-19,142.8000030517578,143.5,137.50999450683594,138.58999633789062,949801
2025-08-20,140.1999969482422,143.77000427246094,139.72000122070312,142.85000610351562,972069
2025-08-21,140.22999572753906,142.5,140.10000610351562,140.89999389648438,495029
2025-08-22,140.05999755859375,142.35000610351562,139.6199951171875,140.49000549316406,610011
2025-08-25,140.0399932861328,141.14999389648438,137.0,140.7899932861328,977318
2025-08-26,139.4199981689453,140.86000061035156,138.11000061035156,139.69000244140625,465964
2025-08-28,136.72999572753906,139.39999389648438,136.3000030517578,138.99000549316406,659333
2025-08-29,137.22999572753906,139.30999755859375,136.64999389648438,137.39999389648438,430279
2025-09-01,136.72999572753906,139.49000549316406,136.10000610351562,137.5,508025
2025-09-02,138.41000366210938,141.0,136.00999450683594,136.8699951171875,697992
2025-09-03,138.6699981689453,141.02999877929688,138.05999755859375,138.89999389648438,371039
2025-09-04,133.75999450683594,141.11000061035156,133.10000610351562,140.0,1413066
2025-09-05,136.17999267578125,137.77000427246094,132.33999633789062,134.5,842560
2025-09-08,134.5800018310547,137.3000030517578,134.3800048828125,136.6999969482422,492055
2025-09-09,135.02999877929688,137.0,133.25,135.35000610351562,732997
2025-09-10,134.58999633789062,137.0,134.0,135.02999877929688,552057
2025-09-11,134.69000244140625,136.61000061035156,134.5,135.10000610351562,430699
2025-09-12,131.35000610351562,135.99000549316406,131.0,134.1999969482422,1016999
2025-09-15,134.2899932861328,136.8000030517578,131.35000610351562,131.8699951171875,1044103
2025-09-16,134.13999938964844,135.5800018310547,133.61000061035156,134.94000244140625,457656
2025-09-17,133.8300018310547,135.80999755859375,133.5500030517578,134.9499969482422,386452
2025-09-18,133.3300018310547,134.86000061035156,133.0,134.3000030517578,331439
2025-09-19,135.08999633789062,135.6999969482422,133.0,133.3000030517578,516188
2025-09-22,139.88999938964844,141.0,133.3000030517578,135.0,1499504
2025-09-23,140.88999938964844,142.60000610351562,138.32000732421875,140.8000030517578,929389
2025-09-24,136.83999633789062,141.89999389648438,136.36000061035156,141.89999389648438,412199
2025-09-25,136.52999877929688,139.52999877929688,136.02999877929688,136.5500030517578,309409
2025-09-26,134.94000244140625,136.55999755859375,134.10000610351562,136.0,331745
2025-09-29,128.6199951171875,135.22999572753906,128.14999389648438,134.99000549316406,1211493
2025-09-30,124.26000213623047,133.35000610351562,123.51000213623047,129.5,1625242
2025-10-01,124.58999633789062,127.70999908447266,121.20999908447266,124.80000305175781,1635791
2025-10-03,126.27999877929688,127.0,124.31999969482422,125.61000061035156,805747
2025-10-06,123.2300033569336,126.4000015258789,122.88999938964844,126.0,775645
2025-10-07,124.36000061035156,125.9000015258789,123.30000305175781,123.4800033569336,658093
2025-10-08,124.1500015258789,126.8499984741211,123.5,124.0,569824
2025-10-09,126.5999984741211,127.69000244140625,123.05999755859375,124.1500015258789,1317525
2025-10-10,126.12000274658203,127.69999694824219,125.73999786376953,127.29000091552734,358459
2025-10-13,124.41000366210938,126.61000061035156,123.9800033569336,125.5,483291
2025-10-14,123.2300033569336,125.9000015258789,123.0,125.3499984741211,296453
2025-10-15,124.19000244140625,125.30000305175781,123.19000244140625,123.80000305175781,274127
2025-10-16,127.69999694824219,130.0,124.48999786376953,124.80000305175781,1068429
2025-10-17,133.16000366210938,136.0,127.6500015258789,127.95999908447266,2294382
2025-10-20,131.27999877929688,134.9199981689453,130.1999969482422,134.75999450683594,627597
2025-10-21,132.10000610351562,132.55999755859375,130.5500030517578,131.99000549316406,171470
2025-10-23,129.13999938964844,132.33999633789062,128.75,132.10000610351562,517520
2025-10-24,131.1300048828125,131.60000610351562,128.80999755859375,129.0,611816
2025-10-27,128.0399932861328,132.25,127.56999969482422,131.47000122070312,479018
